Cue Words,Answer,Difficulty
Show/Life/Row,Boat,Easy
Worm/shelf/end,Book,Easy
Dream/break/light,Day,Easy
River/note/account,Bank,Easy
Basket/eight/snow,Ball,Easy
Mouse/Bear/Sand,Trap,Easy
Opera/hand/dish,Soap,Medium
Blank/list/mate,Check,Medium
Salt/deep/foam,Sea,Medium
Down/question/check,Mark,Medium
French/car/shoe,Horn,Medium
Carpet/alert/ink,Red,Medium
Right/cat/carbon,Copy,Hard
Dust/cereal/fish,Bowl,Hard
Peace/mind/dating,Game,Hard
Tail/water/flood,Gate,Hard
Foul/ground/mate,Play,Hard
Tank/hill/secret,Top,Hard